# Primera medicion de la fase general, n = 3, 4, 5.
# clave	valor	nota
n5.k2.Gray.casilla	PROHIBIDO	
n5.k2.MWDlike.canonica.grupo.orden	384	
n5.k2.MWDlike.canonica.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k2.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n5.k2.MWDlike.canonica.orbitas	11	
n5.k2.MWDlike.canonica.forzadas	9	
n5.k2.MWDlike.canonica.libres	2	
n5.k2.MWDlike.canonica.impares	0	
n5.k2.MWDlike.canonica.minimo	208	
n5.k2.MWDlike.canonica.maximo	288	
n5.k2.MWDlike.canonica.anchura	80	
n5.k2.MWDlike.canonica.observado	208	
n5.k2.MWDlike.canonica.alcanzables	4	
n5.k2.MWDlike.canonica.empate_alcanzable	0	
n5.k2.MWDlike.canonica.casilla	PROHIBIDO	
n5.k2.O3.espacio.de.pares.de.permutaciones	967680	
n5.k2.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n5.k2.O3.casos	2000	
n5.k2.O3.FORZADO	10	
n5.k2.O3.INTERVALO	794	
n5.k2.O3.PROHIBIDO	1196	
n5.k2.O3.ordenes.de.grupo.distintos	384	el grupo solo depende de la particion, no del orden
n5.k3.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n5.k3.Gray.grupo.orden	384	
n5.k3.Gray.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k3.Gray.grupo.coincide.con.lo.predicho	1	
n5.k3.Gray.orbitas	11	
n5.k3.Gray.forzadas	10	
n5.k3.Gray.libres	1	
n5.k3.Gray.impares	0	
n5.k3.Gray.minimo	240	
n5.k3.Gray.maximo	256	
n5.k3.Gray.anchura	16	
n5.k3.Gray.observado	240	
n5.k3.Gray.alcanzables	2	
n5.k3.Gray.empate_alcanzable	0	
n5.k3.Gray.casilla	PROHIBIDO	
n5.k3.MWDlike.canonica.grupo.orden	384	
n5.k3.MWDlike.canonica.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k3.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n5.k3.MWDlike.canonica.orbitas	11	
n5.k3.MWDlike.canonica.forzadas	9	
n5.k3.MWDlike.canonica.libres	2	
n5.k3.MWDlike.canonica.impares	0	
n5.k3.MWDlike.canonica.minimo	208	
n5.k3.MWDlike.canonica.maximo	288	
n5.k3.MWDlike.canonica.anchura	80	
n5.k3.MWDlike.canonica.observado	208	
n5.k3.MWDlike.canonica.alcanzables	4	
n5.k3.MWDlike.canonica.empate_alcanzable	0	
n5.k3.MWDlike.canonica.casilla	PROHIBIDO	
n5.k3.O3.espacio.de.pares.de.permutaciones	967680	
n5.k3.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n5.k3.O3.casos	2000	
n5.k3.O3.FORZADO	9	
n5.k3.O3.INTERVALO	753	
n5.k3.O3.PROHIBIDO	1238	
n5.k3.O3.ordenes.de.grupo.distintos	384	el grupo solo depende de la particion, no del orden
n5.k4.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n5.k4.Gray.grupo.orden	768	
n5.k4.Gray.grupo.orden.predicho	768	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k4.Gray.grupo.coincide.con.lo.predicho	1	
n5.k4.Gray.orbitas	9	
n5.k4.Gray.forzadas	8	
n5.k4.Gray.libres	1	
n5.k4.Gray.impares	0	
n5.k4.Gray.minimo	240	
n5.k4.Gray.maximo	256	
n5.k4.Gray.anchura	16	
n5.k4.Gray.observado	240	
n5.k4.Gray.alcanzables	2	
n5.k4.Gray.empate_alcanzable	0	
n5.k4.Gray.casilla	PROHIBIDO	
n5.k4.MWDlike.canonica.grupo.orden	768	
n5.k4.MWDlike.canonica.grupo.orden.predicho	768	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k4.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n5.k4.MWDlike.canonica.orbitas	9	
n5.k4.MWDlike.canonica.forzadas	7	
n5.k4.MWDlike.canonica.libres	2	
n5.k4.MWDlike.canonica.impares	0	
n5.k4.MWDlike.canonica.minimo	208	
n5.k4.MWDlike.canonica.maximo	288	
n5.k4.MWDlike.canonica.anchura	80	
n5.k4.MWDlike.canonica.observado	208	
n5.k4.MWDlike.canonica.alcanzables	4	
n5.k4.MWDlike.canonica.empate_alcanzable	0	
n5.k4.MWDlike.canonica.casilla	PROHIBIDO	
n5.k4.O3.espacio.de.pares.de.permutaciones	41845579776000	
n5.k4.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n5.k4.O3.casos	2000	
n5.k4.O3.FORZADO	0	
n5.k4.O3.INTERVALO	771	
n5.k4.O3.PROHIBIDO	1229	
n5.k4.O3.ordenes.de.grupo.distintos	768	el grupo solo depende de la particion, no del orden
